prompt,a,b,Category,bin,prompt_format
The painting is BLANK Ali. Ali turns around. The painting is North of Ali.,North of,South of,geocentric_near,1,context
The painting is BLANK Ali. Ali turns around. The painting is South of Ali.,South of,North of,geocentric_near,2,context
The painting is BLANK of Ali. Ali turns around. The painting is East of Ali.,East of,West of,geocentric_near,3,context
The painting is BLANK of Ali. Ali turns around. The painting is West of Ali.,West of,East of,geocentric_near,4,context
The box is BLANK Ali. Ali turns around. The box is North of Ali.,North of,South of,geocentric_near,1,context
The box is BLANK Ali. Ali turns around. The box is South of Ali.,South of,North of,geocentric_near,2,context
The box is BLANK Ali. Ali turns around. The box is East of Ali.,East of,West of,geocentric_near,3,context
The box is BLANK Ali. Ali turns around. The box is West of Ali.,West of,East of,geocentric_near,4,context
Milwaukee is BLANK Ali. Ali turns around. Milwaukee is North of Ali.,North of,South of,geocentric_distant,1,context
Milwaukee is BLANK Ali. Ali turns around. Milwaukee is South of Ali.,South of,North of,geocentric_distant,2,context
Milwaukee is BLANK Ali. Ali turns around. Milwaukee is East of Ali.,East of,West of,geocentric_distant,3,context
Milwaukee is BLANK Ali. Ali turns around. Milwaukee is West of Ali.,West of,East of,geocentric_distant,4,context
The painting is BLANK Ali. Ali turns around. The painting is behind Ali.,in front of,behind,egocentric_near,1,context
The painting is BLANK Ali. Ali turns around. The painting is in front of Ali.,behind,in front of,egocentric_near,2,context
The painting is BLANK Ali. Ali turns around. The painting is left of Ali.,right of,left of,egocentric_near,3,context
The painting is BLANK Ali. Ali turns around. The painting is right of Ali.,left of,right of,egocentric_near,4,context
Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,left of,right of,egocentric_near,1,context
Ali is BLANK the painting. Ali turns around. Ali is in front of the painting,in front of,behind,egocentric_near,2,context
Ali is BLANK the painting. Ali turns around. The painting is behind Ali.,in front of,behind,egocentric_near,3,context
Ali is BLANK painting. Ali turns around. Ali is behind the painting.,behind,in front of,egocentric_near,4,context
Ali is BLANK the painting. Ali turns around. Ali is right of the painting.,right of,left of,egocentric_near,1,context
Ali is BLANK the painting. Ali turns around. Ali is left of the painting.,left of,right of,egocentric_near,2,context
Chicago is BLANK Ali. Ali turns around. Chicago is behind Ali.,in front of,behind,egocentric_distant,3,context
Chicago is BLANK Ali. Ali turns around. Chicago is in front of Ali.,behind,in front of,egocentric_distant,4,context
Chicago is BLANK Ali. Ali turns around. Chicago is left of Ali.,right of,left of,egocentric_distant,1,context
Chicago is BLANK Ali. Ali turns around. Chicago is right of Ali.,left of,right of,egocentric_distant,2,context
Ali is facing BLANK Milwaukee. Ali turns around. Ali is facing away from Milwaukee.,towards,away from,egocentric_distant,3,context
Ali is facing BLANK Milwaukee. Ali turns around. Ali is facing towards Milwaukee.,away from,towards,egocentric_distant,4,context
Milwaukee is to Ali's BLANK. Ali turns left. Ali is facing away from Milwaukee.,right,left,egocentric_distant,1,context
Chicago is to Ali's BLANK. Ali turns left. Ali is facing towards Chicago.,left,right,egocentric_distant,2,context
Chicago is to Ali's BLANK. Ali turns right. Ali is facing away from Chicago.,left,right,egocentric_distant,3,context
Chicago is BLANK Ali. Ali turns right. Chicago is right of Ali.,behind,in front of,egocentric_distant,4,context
Chicago is BLANK Ali. Ali turns left. Chicago is left of Ali.,behind,in front of,egocentric_distant,1,context
Chicago is BLANK Ali. Ali turns left. Chicago is right of Ali.,in front of,behind,egocentric_distant,2,context
Chicago is BLANK Ali. Ali turns right. Chicago is left of Ali.,in front of,behind,egocentric_distant,3,context
Ali is facing BLANK Chicago. Ali turns right. Chicago is left of Ali.,towards,away from,egocentric_distant,4,context
