prompt,category,prompt_type,category_type,correct_res,incorrect_res,group_id,uuid,filled_prompt,accuracy,space_rt_correct,choice_rt_correct,retest_1_accuracy,retest_2_accuracy,retest_delta,gpt_4_accuracy,gpt_4_1_accuracy,gpt_4_o_accuracy,o3_accuracy,gemma_27b_logit_diff,gemma_2_2b_logit_diff,gemma_2_2b_it_logit_diff,trigram_freq,prompt_length,qk_gemma2_2b_it_L0_H0,qk_gemma2_2b_it_L0_H1,qk_gemma2_2b_it_L0_H2,qk_gemma2_2b_it_L0_H3,qk_gemma2_2b_it_L1_H0,qk_gemma2_2b_it_L1_H1,qk_gemma2_2b_it_L1_H2,qk_gemma2_2b_it_L1_H3,qk_gemma2_2b_it_L2_H0,qk_gemma2_2b_it_L2_H1,qk_gemma2_2b_it_L2_H2,qk_gemma2_2b_it_L2_H3,qk_gemma2_2b_it_L3_H0,qk_gemma2_2b_it_L3_H1,qk_gemma2_2b_it_L3_H2,qk_gemma2_2b_it_L3_H3,qk_gemma2_2b_it_L4_H0,qk_gemma2_2b_it_L4_H1,qk_gemma2_2b_it_L4_H2,qk_gemma2_2b_it_L4_H3,qk_gemma2_2b_it_L5_H0,qk_gemma2_2b_it_L5_H1,qk_gemma2_2b_it_L5_H2,qk_gemma2_2b_it_L5_H3,qk_gemma2_2b_it_L6_H0,qk_gemma2_2b_it_L6_H1,qk_gemma2_2b_it_L6_H2,qk_gemma2_2b_it_L6_H3,qk_gemma2_2b_it_L7_H0,qk_gemma2_2b_it_L7_H1,qk_gemma2_2b_it_L7_H2,qk_gemma2_2b_it_L7_H3,qk_gemma2_2b_it_L8_H0,qk_gemma2_2b_it_L8_H1,qk_gemma2_2b_it_L8_H2,qk_gemma2_2b_it_L8_H3,qk_gemma2_2b_it_L9_H0,qk_gemma2_2b_it_L9_H1,qk_gemma2_2b_it_L9_H2,qk_gemma2_2b_it_L9_H3,qk_gemma2_2b_it_L10_H0,qk_gemma2_2b_it_L10_H1,qk_gemma2_2b_it_L10_H2,qk_gemma2_2b_it_L10_H3,qk_gemma2_2b_it_L11_H0,qk_gemma2_2b_it_L11_H1,qk_gemma2_2b_it_L11_H2,qk_gemma2_2b_it_L11_H3,qk_gemma2_2b_it_L12_H0,qk_gemma2_2b_it_L12_H1,qk_gemma2_2b_it_L12_H2,qk_gemma2_2b_it_L12_H3,qk_gemma2_2b_it_L13_H0,qk_gemma2_2b_it_L13_H1,qk_gemma2_2b_it_L13_H2,qk_gemma2_2b_it_L13_H3,qk_gemma2_2b_it_L14_H0,qk_gemma2_2b_it_L14_H1,qk_gemma2_2b_it_L14_H2,qk_gemma2_2b_it_L14_H3,qk_gemma2_2b_it_L15_H0,qk_gemma2_2b_it_L15_H1,qk_gemma2_2b_it_L15_H2,qk_gemma2_2b_it_L15_H3,qk_gemma2_2b_it_L16_H0,qk_gemma2_2b_it_L16_H1,qk_gemma2_2b_it_L16_H2,qk_gemma2_2b_it_L16_H3,qk_gemma2_2b_it_L17_H0,qk_gemma2_2b_it_L17_H1,qk_gemma2_2b_it_L17_H2,qk_gemma2_2b_it_L17_H3,qk_gemma2_2b_it_L18_H0,qk_gemma2_2b_it_L18_H1,qk_gemma2_2b_it_L18_H2,qk_gemma2_2b_it_L18_H3,qk_gemma2_2b_it_L19_H0,qk_gemma2_2b_it_L19_H1,qk_gemma2_2b_it_L19_H2,qk_gemma2_2b_it_L19_H3,qk_gemma2_2b_it_L20_H0,qk_gemma2_2b_it_L20_H1,qk_gemma2_2b_it_L20_H2,qk_gemma2_2b_it_L20_H3,qk_gemma2_2b_it_L21_H0,qk_gemma2_2b_it_L21_H1,qk_gemma2_2b_it_L21_H2,qk_gemma2_2b_it_L21_H3,qk_gemma2_2b_it_L22_H0,qk_gemma2_2b_it_L22_H1,qk_gemma2_2b_it_L22_H2,qk_gemma2_2b_it_L22_H3,qk_gemma2_2b_it_L23_H0,qk_gemma2_2b_it_L23_H1,qk_gemma2_2b_it_L23_H2,qk_gemma2_2b_it_L23_H3,prompt_key,filled_prompt_key,n_obs_round_1,n_obs_round_2
Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,two_refs_egocentric,target,two_refs_egocentric_target,towards,away from,b487e9f1-f216-4229-8b45-f420981e75a0,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing towards Ali.,0.9,4882.5714285528,1429.17142853726,,,,1,1,0,0,13.625,1.0,0.0333333333333333,4.309411764705881,91,0.60546875,0.0712890625,-2.671875,-0.05322265625,-0.7265625,0.341796875,-0.5625,-0.400390625,-0.78515625,0.439453125,-0.361328125,-0.26953125,-0.365234375,1.0390625,-1.1328125,-0.51953125,-0.361328125,0.06787109375,0.2216796875,0.2734375,-0.16796875,0.5078125,-0.5859375,-0.045166015625,-0.09716796875,-0.030517578125,-0.341796875,-0.0245361328125,0.236328125,-0.259765625,-0.051513671875,0.322265625,-0.625,-0.240234375,0.058349609375,-0.0498046875,0.1328125,-0.7421875,-0.365234375,0.10107421875,0.2255859375,-0.2265625,-0.30859375,0.3515625,-0.39453125,-0.002777099609375,0.640625,-0.578125,0.404296875,-0.1630859375,0.049560546875,0.53515625,0.1630859375,-0.306640625,-0.263671875,-0.279296875,-0.51953125,0.39453125,-0.89453125,-0.040283203125,-1.5625,-0.1767578125,0.73046875,0.58984375,0.70703125,0.51171875,-0.11865234375,0.25,-0.302734375,0.232421875,1.0,0.4296875,0.1240234375,-0.546875,-0.12060546875,0.154296875,-0.50390625,0.8125,0.369140625,0.26953125,-0.19921875,-0.06494140625,0.0634765625,-0.1533203125,0.1748046875,-0.328125,-0.48828125,0.7109375,-0.26171875,-0.0947265625,-0.49609375,-0.103515625,0.19921875,-0.81640625,0.1142578125,-0.51171875,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing towards Ali.,10,0
Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,target,two_refs_egocentric_target,towards,away from,ad9d5ad4-2c5f-4f8c-b4d0-1372fed2356b,49d0b194-7f0c-40e6-87dc-7e67c46a418e,Ali and Mark are facing eachother. Mark turns around. Ali is facing towards Mark.,0.4375,4109.88333333284,1827.43999999203,0.6,0.333333333333333,0.5,1,0,0,0,-8.0,0.0,-0.289772727272727,4.2219999999999995,81,0.59375,0.06201171875,-2.6875,-0.045166015625,-0.71875,0.3515625,-0.53515625,-0.376953125,-0.8046875,0.458984375,-0.357421875,-0.2578125,-0.37109375,1.03125,-1.1015625,-0.53125,-0.37890625,0.054443359375,0.2099609375,0.2578125,-0.1748046875,0.47265625,-0.578125,-0.017333984375,-0.08203125,-0.025634765625,-0.31640625,-0.01806640625,0.26171875,-0.26171875,-0.043212890625,0.33203125,-0.625,-0.2041015625,0.0849609375,-0.0179443359375,0.1396484375,-0.76171875,-0.35546875,0.09814453125,0.2275390625,-0.24609375,-0.322265625,0.3515625,-0.40625,-0.00482177734375,0.67578125,-0.66015625,0.3828125,-0.12890625,0.048583984375,0.54296875,0.1611328125,-0.294921875,-0.2890625,-0.283203125,-0.498046875,0.404296875,-1.046875,-0.029052734375,-1.546875,-0.1708984375,0.71875,0.546875,0.6640625,0.546875,-0.047607421875,0.265625,-0.3359375,0.2490234375,0.98828125,0.41796875,0.12353515625,-0.5546875,-0.0673828125,0.1396484375,-0.4453125,0.7890625,0.357421875,0.240234375,-0.1962890625,-0.07666015625,0.11181640625,-0.12451171875,0.1845703125,-0.2451171875,-0.52734375,0.734375,-0.26953125,-0.13671875,-0.59765625,-0.0703125,0.212890625,-0.80078125,0.09716796875,-0.4921875,Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,Ali and Mark are facing eachother. Mark turns around. Ali is facing towards Mark.,16,20
Ali is East of Milwaukee. Ali walks East. Ali is getting BLANK Milwaukee.,geocentric_distant,target,geocentric_distant_target,further from,closer to,89065c23-c333-4e32-80e7-8c55f4c1b3af,b89afe78-3f1f-4856-97cc-382a35eb4abc,Ali is East of Milwaukee. Ali walks East. Ali is getting further from Milwaukee.,0.55,9734.02857142687,1195.18571428529,0.4,0.75,0.555555555555556,0,1,1,1,1.875,0.0,-0.116666666666667,4.302666666666667,80,0.56640625,0.049072265625,-2.75,-0.047119140625,-0.66796875,0.38671875,-0.640625,-0.3359375,-0.80078125,0.39453125,-0.294921875,-0.251953125,-0.330078125,0.99609375,-1.109375,-0.453125,-0.306640625,0.0810546875,0.1865234375,0.2216796875,-0.1708984375,0.546875,-0.60546875,-0.015625,-0.11376953125,0.08935546875,-0.27734375,0.1240234375,0.265625,-0.38671875,-0.10888671875,0.29296875,-0.6796875,-0.306640625,0.0712890625,-0.04296875,0.142578125,-0.73046875,-0.427734375,0.09765625,0.2490234375,-0.2275390625,-0.322265625,0.34765625,-0.40625,0.039794921875,0.67578125,-0.462890625,0.31640625,0.03515625,0.10791015625,0.45703125,0.138671875,-0.244140625,-0.2275390625,-0.2412109375,-0.462890625,0.267578125,-0.9609375,-0.0257568359375,-1.6875,-0.189453125,0.6953125,0.5546875,0.578125,0.59375,0.0732421875,0.103515625,-0.40234375,0.328125,0.9453125,0.345703125,0.1123046875,-0.50390625,0.03173828125,0.1650390625,-0.51171875,0.7109375,0.396484375,0.29296875,-0.1650390625,-0.1953125,0.10791015625,-0.158203125,0.1416015625,-0.283203125,-0.62890625,0.72265625,-0.2392578125,-0.1796875,-0.52734375,-0.10400390625,0.1845703125,-0.73046875,0.16796875,-0.4140625,Ali is East of Milwaukee. Ali walks East. Ali is getting BLANK Milwaukee.,Ali is East of Milwaukee. Ali walks East. Ali is getting further from Milwaukee.,20,17
Ali is East of Milwaukee. Ali walks West. Ali is getting BLANK Milwaukee.,geocentric_distant,target,geocentric_distant_target,closer to,further from,aa8228bc-d828-4cf4-ab03-e31dad8a151b,67b9b39e-21bf-4eae-bc30-d2bbccfd7b46,Ali is East of Milwaukee. Ali walks West. Ali is getting closer to Milwaukee.,0.619047619047619,10317.088889033,1518.27500000014,0.5,0.333333333333333,0.428571428571429,0,1,1,1,12.0625,-1.0,0.0476190476190477,4.243333333333333,77,0.5625,0.035400390625,-2.75,-0.041748046875,-0.671875,0.3828125,-0.62890625,-0.349609375,-0.80078125,0.373046875,-0.30078125,-0.25,-0.326171875,0.984375,-1.09375,-0.462890625,-0.30859375,0.09521484375,0.1689453125,0.2255859375,-0.1748046875,0.546875,-0.60546875,0.0004215240478515625,-0.123046875,0.07421875,-0.251953125,0.10986328125,0.283203125,-0.39453125,-0.10302734375,0.28515625,-0.6875,-0.3046875,0.07470703125,-0.061279296875,0.14453125,-0.734375,-0.43359375,0.099609375,0.251953125,-0.224609375,-0.318359375,0.3515625,-0.408203125,0.059326171875,0.65625,-0.48046875,0.3125,0.0179443359375,0.119140625,0.484375,0.13671875,-0.1748046875,-0.228515625,-0.2578125,-0.453125,0.275390625,-0.95703125,-0.07763671875,-1.640625,-0.1943359375,0.71875,0.5390625,0.59765625,0.59765625,-0.0169677734375,0.12060546875,-0.373046875,0.359375,0.9453125,0.296875,0.142578125,-0.515625,0.017578125,0.1630859375,-0.5390625,0.6875,0.3984375,0.2890625,-0.158203125,-0.1904296875,0.10107421875,-0.1630859375,0.1689453125,-0.2734375,-0.62890625,0.70703125,-0.2216796875,-0.158203125,-0.5234375,-0.07568359375,0.1806640625,-0.7265625,0.16015625,-0.41796875,Ali is East of Milwaukee. Ali walks West. Ali is getting BLANK Milwaukee.,Ali is East of Milwaukee. Ali walks West. Ali is getting closer to Milwaukee.,21,16
Ali is South of Milwaukee. Ali walks North. Ali is getting BLANK Milwaukee.,geocentric_distant,target,geocentric_distant_target,closer to,further from,f0a6827f-b6bd-4969-a8c9-cf2319501485,ce32dac1-fbf6-4834-9716-7a2194b5b314,Ali is South of Milwaukee. Ali walks North. Ali is getting closer to Milwaukee.,0.5625,7480.01250000112,1428.71666667362,0.4,0.666666666666667,0.5,0,1,1,1,13.3125,-1.0,-0.104166666666667,4.262,79,0.56640625,0.059326171875,-2.765625,-0.045166015625,-0.6640625,0.390625,-0.63671875,-0.349609375,-0.79296875,0.3671875,-0.32421875,-0.25,-0.33203125,1.0078125,-1.1015625,-0.47265625,-0.314453125,0.08837890625,0.17578125,0.2197265625,-0.17578125,0.57421875,-0.640625,0.033447265625,-0.1171875,0.1083984375,-0.27734375,0.1015625,0.296875,-0.392578125,-0.10693359375,0.2177734375,-0.69140625,-0.341796875,0.07373046875,-0.058349609375,0.142578125,-0.75,-0.451171875,0.083984375,0.2470703125,-0.2275390625,-0.294921875,0.359375,-0.408203125,0.05322265625,0.65234375,-0.466796875,0.337890625,0.0169677734375,0.12890625,0.4921875,0.125,-0.1640625,-0.2392578125,-0.255859375,-0.443359375,0.2578125,-0.93359375,-0.076171875,-1.59375,-0.20703125,0.6953125,0.53515625,0.58984375,0.6015625,-0.01519775390625,0.0986328125,-0.390625,0.361328125,0.9453125,0.263671875,0.1328125,-0.4765625,0.0120849609375,0.1416015625,-0.53515625,0.6484375,0.369140625,0.271484375,-0.16015625,-0.177734375,0.109375,-0.169921875,0.1845703125,-0.27734375,-0.61328125,0.6875,-0.212890625,-0.166015625,-0.49609375,-0.07958984375,0.189453125,-0.7109375,0.1513671875,-0.39453125,Ali is South of Milwaukee. Ali walks North. Ali is getting BLANK Milwaukee.,Ali is South of Milwaukee. Ali walks North. Ali is getting closer to Milwaukee.,16,17
Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,geocentric_distant,target,geocentric_distant_target,further from,closer to,e50c50d6-1edf-4c19-bc04-2b00258f3c70,a620f260-0f81-45c0-87a5-80355c0fec7f,Ali is South of Milwaukee. Ali walks South. Ali is getting further from Milwaukee.,0.818181818181818,4574.16249997169,836.83333328863,,,,0,1,1,1,7.125,0.0,0.0681818181818182,4.326666666666667,82,0.55859375,0.06298828125,-2.765625,-0.04345703125,-0.66796875,0.3984375,-0.640625,-0.333984375,-0.80078125,0.369140625,-0.3046875,-0.263671875,-0.333984375,1.03125,-1.1171875,-0.478515625,-0.318359375,0.078125,0.1982421875,0.2236328125,-0.171875,0.578125,-0.640625,0.01165771484375,-0.10693359375,0.10888671875,-0.275390625,0.09619140625,0.279296875,-0.3828125,-0.1025390625,0.2236328125,-0.69140625,-0.38671875,0.06689453125,-0.029296875,0.1318359375,-0.73828125,-0.43359375,0.0830078125,0.240234375,-0.234375,-0.302734375,0.353515625,-0.412109375,0.033935546875,0.671875,-0.435546875,0.3359375,0.0439453125,0.11474609375,0.447265625,0.1298828125,-0.2421875,-0.24609375,-0.2392578125,-0.44921875,0.255859375,-0.92578125,-0.011474609375,-1.6171875,-0.2080078125,0.671875,0.55078125,0.58203125,0.59375,0.0751953125,0.07275390625,-0.412109375,0.326171875,0.953125,0.3359375,0.11083984375,-0.47265625,0.0147705078125,0.1474609375,-0.515625,0.67578125,0.3515625,0.283203125,-0.1650390625,-0.1875,0.11376953125,-0.16796875,0.1435546875,-0.287109375,-0.62109375,0.703125,-0.22265625,-0.19140625,-0.48828125,-0.09033203125,0.1923828125,-0.71875,0.19140625,-0.390625,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,Ali is South of Milwaukee. Ali walks South. Ali is getting further from Milwaukee.,11,0
Ali is behind the painting. Ali turns around. Ali is BLANK the painting.,egocentric_near,target,egocentric_near_target,behind,in front of,096696ac-ed35-45ec-9398-3b08e994da50,07167d4f-80b9-4acc-9071-2c51b88df677,Ali is behind the painting. Ali turns around. Ali is behind the painting.,0.25,3389.40000002086,1946.39999999603,0.25,0.5,0.333333333333333,0,0,0,0,-11.625,0.0,-0.0833333333333333,4.51,73,0.640625,0.06396484375,-2.796875,-0.0703125,-0.734375,0.365234375,-0.62109375,-0.39453125,-0.73828125,0.431640625,-0.296875,-0.1787109375,-0.404296875,1.078125,-1.2109375,-0.49609375,-0.408203125,0.130859375,0.1796875,0.287109375,-0.1826171875,0.423828125,-0.55859375,-0.05029296875,-0.053466796875,0.031005859375,-0.1982421875,0.03662109375,0.251953125,-0.30078125,-0.0078125,0.28125,-0.6484375,-0.310546875,0.07470703125,-0.0135498046875,0.0849609375,-0.6171875,-0.375,0.09033203125,0.2099609375,-0.26171875,-0.255859375,0.296875,-0.46875,-0.01385498046875,0.63671875,-0.61328125,0.44921875,-0.024658203125,0.07177734375,0.54296875,0.1044921875,-0.283203125,-0.2392578125,-0.1923828125,-0.4453125,0.326171875,-0.9609375,-0.007232666015625,-1.65625,-0.18359375,0.68359375,0.6328125,0.64453125,0.59765625,-0.0179443359375,0.10400390625,-0.310546875,0.310546875,0.9609375,0.40625,0.1474609375,-0.53125,-0.035888671875,0.1552734375,-0.4765625,0.73046875,0.373046875,0.2373046875,-0.15625,-0.0703125,0.06884765625,-0.125,0.1962890625,-0.1728515625,-0.61328125,0.77734375,-0.29296875,-0.171875,-0.6796875,-0.1533203125,0.2578125,-0.81640625,0.07470703125,-0.38671875,Ali is behind the painting. Ali turns around. Ali is BLANK the painting.,Ali is behind the painting. Ali turns around. Ali is behind the painting.,16,19
Ali is behind the statue. Ali turns around. Ali is BLANK.,action_nonfollows,target,action_nonfollows_target,behind the statue,in front of the statue,a35f7ee0-1906-47e5-abbc-cf9b815c7618,609276f4-276d-4b83-a87e-279b606bcaec,Ali is behind the statue. Ali turns around. Ali is behind the statue.,0.3125,5471.95000001416,2992.56666666269,0.25,0.75,0.5,0,0,1,1,-10.9375,0.0,-0.0208333333333333,4.354285714285715,69,0.6640625,0.04150390625,-2.875,-0.07275390625,-0.75390625,0.380859375,-0.6015625,-0.357421875,-0.68359375,0.42578125,-0.271484375,-0.197265625,-0.421875,1.09375,-1.2578125,-0.474609375,-0.375,0.1318359375,0.1513671875,0.337890625,-0.203125,0.41796875,-0.62109375,-0.115234375,-0.10107421875,-0.048828125,-0.1591796875,0.06591796875,0.2109375,-0.330078125,-0.06884765625,0.2158203125,-0.64453125,-0.232421875,0.11474609375,0.04296875,0.16796875,-0.6171875,-0.443359375,0.0927734375,0.2265625,-0.2578125,-0.33984375,0.2734375,-0.5078125,0.0830078125,0.6015625,-0.68359375,0.419921875,-0.044921875,0.0791015625,0.48046875,0.07177734375,-0.306640625,-0.267578125,-0.1845703125,-0.484375,0.2578125,-0.89453125,0.0167236328125,-1.6875,-0.1416015625,0.6875,0.70703125,0.6328125,0.58203125,-0.07421875,0.08642578125,-0.353515625,0.25,0.9921875,0.45703125,0.1416015625,-0.5,0.00982666015625,0.146484375,-0.5078125,0.57421875,0.392578125,0.24609375,-0.138671875,-0.09765625,0.078125,-0.01953125,0.1640625,-0.1796875,-0.54296875,0.75390625,-0.291015625,-0.251953125,-0.703125,-0.1376953125,0.2470703125,-0.875,0.10546875,-0.37890625,Ali is behind the statue. Ali turns around. Ali is BLANK.,Ali is behind the statue. Ali turns around. Ali is behind the statue.,16,24
Ali is behind the wagon. Ali pushes on the wagon. The wagon BLANK.,action_follows,target,action_follows_target,moves,doesn't move,06261394-2494-4000-80fc-e2c872a1a938,4ac52f2a-cb4c-4194-abf6-fd7aa91e796d,Ali is behind the wagon. Ali pushes on the wagon. The wagon moves.,1.0,4051.33076916692,1377.6250000787,,,,1,1,1,1,16.25,0.0,0.266666666666667,3.9564285714285705,66,0.703125,-0.011474609375,-2.703125,-0.060302734375,-0.76171875,0.283203125,-0.52734375,-0.2890625,-0.72265625,0.40625,-0.2392578125,-0.095703125,-0.421875,1.078125,-1.1484375,-0.5234375,-0.431640625,0.1220703125,0.08984375,0.314453125,-0.21875,0.46484375,-0.4921875,-0.0286865234375,-0.091796875,-0.10205078125,-0.2099609375,0.0274658203125,0.189453125,-0.369140625,-0.05712890625,0.3515625,-0.671875,-0.228515625,0.0150146484375,0.08349609375,0.1533203125,-0.5546875,-0.369140625,0.09423828125,0.1943359375,-0.271484375,-0.283203125,0.396484375,-0.451171875,0.1220703125,0.66796875,-0.59765625,0.28515625,0.15234375,-0.005706787109375,0.58984375,0.10498046875,-0.384765625,-0.27734375,-0.1826171875,-0.5078125,0.38671875,-0.9609375,0.00634765625,-1.78125,-0.154296875,0.703125,0.66015625,0.51171875,0.60546875,0.07177734375,0.10498046875,-0.455078125,0.330078125,0.78515625,0.35546875,0.10205078125,-0.45703125,0.1484375,0.1728515625,-0.515625,0.81640625,0.359375,0.1650390625,-0.18359375,-0.0439453125,0.11083984375,-0.298828125,0.2421875,-0.27734375,-0.69921875,0.75,-0.3125,-0.1806640625,-0.63671875,-0.142578125,0.228515625,-0.69921875,0.15625,-0.41015625,Ali is behind the wagon. Ali pushes on the wagon. The wagon BLANK.,Ali is behind the wagon. Ali pushes on the wagon. The wagon moves.,21,0
Ali is directly North of Milwaukee. Ali walks East. Ali is BLANK Milwaukee.,geocentric_distant,target,geocentric_distant_target,Northeast,Southwest,f5ac588b-0ffe-4d1e-ba4a-35223ed0eeaa,72cd0076-2e45-4c94-b071-27ad4067b3ba,Ali is directly North of Milwaukee. Ali walks East. Ali is Northeast of Milwaukee.,0.7,8906.05714285374,2737.29999999702,1.0,0.5,0.833333333333333,1,1,1,1,6.4375,1.0,-0.166666666666667,4.135999999999999,82,0.50390625,0.0751953125,-2.796875,-0.057373046875,-0.65625,0.4140625,-0.57421875,-0.337890625,-0.8203125,0.4765625,-0.3203125,-0.1953125,-0.357421875,0.9921875,-1.1640625,-0.33984375,-0.287109375,0.12158203125,0.1337890625,0.2890625,-0.177734375,0.55078125,-0.71484375,-0.021728515625,-0.10888671875,0.06298828125,-0.189453125,0.0498046875,0.306640625,-0.369140625,-0.1826171875,0.26953125,-0.63671875,-0.20703125,0.11083984375,-0.07421875,0.126953125,-0.71875,-0.34375,0.09326171875,0.2158203125,-0.283203125,-0.33203125,0.388671875,-0.375,-0.0301513671875,0.69140625,-0.625,0.408203125,-0.09375,0.1357421875,0.474609375,0.1630859375,-0.263671875,-0.1796875,-0.2333984375,-0.435546875,0.283203125,-1.0625,-0.02587890625,-1.546875,-0.224609375,0.67578125,0.62890625,0.625,0.5703125,-0.04052734375,0.125,-0.28515625,0.2353515625,0.93359375,0.296875,0.140625,-0.53125,-0.04052734375,0.033203125,-0.5390625,0.7421875,0.396484375,0.2734375,-0.166015625,-0.1953125,0.14453125,-0.1650390625,0.1875,-0.263671875,-0.671875,0.78515625,-0.1875,-0.2099609375,-0.451171875,-0.1005859375,0.2431640625,-0.78125,0.13671875,-0.431640625,Ali is directly North of Milwaukee. Ali walks East. Ali is BLANK Milwaukee.,Ali is directly North of Milwaukee. Ali walks East. Ali is Northeast of Milwaukee.,20,12
