subj_code,bin,type,prompt,category,category_type,uuid,correct_res,incorrect_res,response
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the ball inside the box. The ball is BLANK the box.,relative_pos,relative_pos_target,257746e7-67e6-4ce8-adfc-8823a50bfec5,touching,not touching,1
A144N9R7W4H67O,7,retest,Ali is to Mark's right. Ali turns around. Ali is to Mark's BLANK.,two_refs_egocentric,two_refs_egocentric_target,4b5ca386-a350-417d-859e-3d21020bc450,right,left,1
A144N9R7W4H67O,7,retest,Mark is to the BLANK Ali. Mark looks to his left and Ali looks to his left. Ali is facing towards Mark.,two_refs_egocentric,two_refs_egocentric_context,23a035cf-76fc-4e1e-bdfa-2a603d6012d5,left of,right of,1
A144N9R7W4H67O,7,retest,Mark is in front of Ali. Mark walks forwards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,bc484807-e0f6-481e-bf94-847a69b5f59b,further from,closer to,0
A144N9R7W4H67O,7,retest,Ali and Mark are facing eachother. BLANK turns around. Ali is facing towards Mark.,two_refs_egocentric,two_refs_egocentric_context,aaf79034-1765-467d-965f-7b2d0159db68,Mark,Ali,1
A144N9R7W4H67O,7,retest,Mark is facing right and Ali is facing left. Mark turns to his left. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,71bbc61c-e146-4a9e-8769-32ceff15bba6,towards,away from,0
A144N9R7W4H67O,7,retest,The tennis ball is BLANK the bowling ball. Ali rolls the bowling ball. The bowling ball is further from the tennis ball.,relative_pos,relative_pos_context,d9f18d62-68d4-4db8-a4b5-847c5ff40a19,touching,far from,0
A144N9R7W4H67O,7,retest,Ali is to Mark's BLANK. Ali turns around. Ali is to Mark's right.,two_refs_egocentric,two_refs_egocentric_context,5d6081c0-2b00-4c26-9edb-7aab052a472a,right,left,1
A144N9R7W4H67O,7,retest,Ali is holding the tennis ball and the ping pong ball is on the floor. Ali picks up the ping pong ball. The ping pong ball is BLANK the tennis ball.,relative_pos,relative_pos_target,693ba7bc-dad1-44c7-830a-1f3ffd184136,closer to,further from,1
A144N9R7W4H67O,7,retest,The box is next to the desk. Ali stacks the BLANK. The box is below the desk.,relative_pos,relative_pos_context,efb787d1-515a-449c-b016-7968a6a36a0f,desk on the box,box on the desk,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing left. Ali turns to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,0efcb0c1-350a-4c40-bf4c-954939371c8e,away from,towards,0
A144N9R7W4H67O,7,retest,The box is next to the ball. Ali puts the BLANK. the ball is larger than the box.,relative_pos,relative_pos_context,db44d1c2-8255-4f3c-a854-369f71e3d5bb,box inside the ball,ball inside the box,1
A144N9R7W4H67O,7,retest,Ali is to the BLANK Mark. Mark looks to his right. Mark see Ali.,two_refs_egocentric,two_refs_egocentric_context,8f7779d1-883f-4bd5-951d-7634f15a3147,right of,left of,1
A144N9R7W4H67O,7,retest,Mark and Ali are both facing right. Ali turns to his left. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,47c656dc-8025-40bc-a1fe-3bb9814b4cbb,away from,towards,0
A144N9R7W4H67O,7,retest,Mark is facing BLANK Ali. Ali turns around. Mark is facing away Ali.,two_refs_egocentric,two_refs_egocentric_context,1f5ef932-b502-43fb-a96c-df6a6bdb3d77,away from,towards,1
A144N9R7W4H67O,7,retest,Mark is BLANK Ali. Mark walks backwards. Mark is getting further from Ali.,two_refs_egocentric,two_refs_egocentric_context,c2ee74e5-16de-4279-a23a-acbd7ca7713a,behind,in front of,1
A144N9R7W4H67O,7,retest,Ali is facing BLANK Mark. Ali turns around. Ali is facing away from Mark.,two_refs_egocentric,two_refs_egocentric_context,0e1987d0-56ac-4faf-bf4c-00e9eca4c1aa,towards,away from,1
A144N9R7W4H67O,7,retest,Ali is holding the tennis ball and the ping pong ball. Ali BLANK the ping pong ball. The ping pong ball is further from the tennis ball.,relative_pos,relative_pos_context,c885cf08-3122-4f1c-bff8-ad3b84e36695,drops,picks up,1
A144N9R7W4H67O,7,retest,Mark and Ali are facing away from eachother. Mark turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,2deab35e-de13-4997-800d-a76f6de872b5,away from,towards,1
A144N9R7W4H67O,7,retest,Ali is to the right of Mark. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,767e980c-4e89-4d82-b116-6e854125bf34,away from,towards,1
A144N9R7W4H67O,7,retest,Ali is to Mark's right. Mark turns around. Ali is to Mark's BLANK.,two_refs_egocentric,two_refs_egocentric_target,f0b9b141-ad3a-4341-a0d9-a7bbe00bba06,left,right,1
A144N9R7W4H67O,7,retest,Ali is to Mark's BLANK. Mark turns around. Ali is to Mark's left.,two_refs_egocentric,two_refs_egocentric_context,10d4a6f7-87fe-46ba-84b1-ea6e6adf357f,right,left,1
A144N9R7W4H67O,7,retest,The ball is inside the box. Ali picks up the ball. The ball is BLANK the box.,relative_pos,relative_pos_target,28d85ad9-fe5a-44b8-aebb-06f0f7a635e7,not touching,touching,1
A144N9R7W4H67O,7,retest,Mark is facing BLANK and Ali is facing left. Mark turns to his left. Mark is facing towards Ali.,two_refs_egocentric,two_refs_egocentric_context,1eead36c-5b61-4688-b511-77cd096d296f,right,left,1
A144N9R7W4H67O,7,retest,Mark is facing away from Ali. Ali turns around. Mark is facing BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,cbb6e2d4-1f3b-4790-adce-17e1a11978f5,away,towards,0
A144N9R7W4H67O,7,retest,Ali is facing towards Mark. Ali turns around. Ali is facing BLANK Mark.,two_refs_egocentric,two_refs_egocentric_target,15f7aaca-0828-405a-ae37-1c872c41f911,away,towards,1
A144N9R7W4H67O,7,retest,Mark is BLANK Ali. Mark walks forwards. Mark is getting further from Ali.,two_refs_egocentric,two_refs_egocentric_context,f7d845e3-bf92-43ca-8274-b0da84be24af,in front of,behind,1
A144N9R7W4H67O,7,retest,The ball and the box are on the table. Ali picks up the ball. The ball is BLANK the box.,relative_pos,relative_pos_target,5d8c3a6d-0cc2-458b-99a8-aa6888a79292,higher than,lower than,1
A144N9R7W4H67O,7,retest,Mark is behind Ali. Mark walks fowards. Mark is getting BLANK Ali.,two_refs_egocentric,two_refs_egocentric_target,6598bcd0-f33f-4f87-b010-7257d9037f54,closer to,further from,1
A144N9R7W4H67O,7,retest,The box is next to the desk. Ali stacks the desk on the box. The box is BLANK the desk.,relative_pos,relative_pos_target,ce26d593-6e54-4ce5-b2ee-b510804b99cd,below,above,0
